,tconst,merge_id,release_date,genres,averagerating,numvotes,production_budget,domestic_gross,worldwide_gross
55,tt1573072,2010 Housefull,2010,Comedy,5.5,11089,10100000.0,1183658.0,18726300.0
56,tt0892769,2010 How to Train Your Dragon,2010,"Action,Adventure,Animation",8.1,611299,165000000.0,217581232.0,494870992.0
57,tt1242432,2010 I Spit on Your Grave,2010,"Horror,Thriller",6.3,68592,1750000.0,93051.0,1278471.0
58,tt1560957,2010 I Want Your Money,2010,Documentary,5.1,1244,400000.0,433588.0,433588.0
59,tt1255953,2010 Incendies,2010,"Drama,Mystery,War",8.3,124156,6800000.0,6857096.0,16038343.0
60,tt1375666,2010 Inception,2010,"Action,Adventure,Sci-Fi",8.8,1841066,160000000.0,292576195.0,835524642.0
61,tt1645089,2010 Inside Job,2010,"Crime,Documentary",8.3,65304,2000000.0,4311834.0,7799257.0
62,tt1228705,2010 Iron Man 2,2010,"Action,Adventure,Sci-Fi",7.0,657690,170000000.0,312433331.0,621156389.0
63,tt0804497,2010 It's Kind of a Funny Story,2010,"Comedy,Drama,Romance",7.1,125583,8000000.0,6363628.0,6632950.0
64,tt1319716,2010 It's a Wonderful Afterlife,2010,"Comedy,Drama,Fantasy",5.4,1361,10000000.0,0.0,1642939.0
65,tt1116184,2010 Jackass 3D,2010,"Action,Comedy,Documentary",7.0,53289,20000000.0,117229692.0,171685793.0
66,tt1075747,2010 Jonah Hex,2010,"Action,Drama,Fantasy",4.7,51860,47000000.0,10547117.0,11022696.0
67,tt1407061,2010 Just Wright,2010,"Comedy,Romance,Sport",5.9,12466,12000000.0,21540363.0,21867665.0
68,tt1250777,2010 Kick-Ass,2010,"Action,Comedy",7.6,497363,28000000.0,48071303.0,97531134.0
69,tt1103153,2010 Killers,2010,"Action,Comedy,Romance",5.4,82237,75000000.0,47059963.0,95572749.0
70,tt1198101,2010 Kites,2010,"Action,Drama,Romance",6.1,11353,9200000.0,1685269.0,17155193.0
71,tt1013743,2010 Knight and Day,2010,"Action,Adventure,Comedy",6.3,169840,117000000.0,76423035.0,258751370.0
72,tt1216492,2010 Leap Year,2010,"Comedy,Romance",6.5,86125,19000000.0,25918920.0,32618920.0
73,tt1219342,2010 Legend of the Guardians: The Owls of Ga'Hoole,2010,"Action,Adventure,Animation",7.0,73790,100000000.0,55675313.0,139716717.0
74,tt1038686,2010 Legion,2010,"Action,Fantasy,Horror",5.2,92709,26000000.0,40168080.0,67647574.0
75,tt1228987,2010 Let Me In,2010,"Drama,Fantasy,Horror",7.1,107012,20000000.0,12134935.0,28270399.0
76,tt1462054,2010 Letters to God,2010,"Drama,Family",6.3,4443,3000000.0,2848587.0,3237452.0
77,tt0892318,2010 Letters to Juliet,2010,"Adventure,Comedy,Drama",6.6,86137,30000000.0,53032453.0,82148538.0
78,tt1055292,2010 Life as We Know It,2010,"Comedy,Drama,Romance",6.6,113077,38000000.0,53374681.0,105887837.0
79,tt0970866,2010 Little Fockers,2010,"Comedy,Romance",5.5,99222,100000000.0,148438600.0,310650574.0
80,tt0979434,2010 Lottery Ticket,2010,Comedy,5.0,10042,17000000.0,24719879.0,24719879.0
81,tt1125929,2010 Love Ranch,2010,"Biography,Comedy,Drama",5.6,2742,25000000.0,137885.0,146149.0
82,tt1470023,2010 MacGruber,2010,"Action,Comedy,Romance",5.5,39782,10000000.0,8525600.0,8629895.0
83,tt0985694,2010 Machete,2010,"Action,Crime,Thriller",6.6,182320,12500000.0,26593646.0,46370970.0
84,tt1371155,2010 Made in Dagenham,2010,"Biography,Comedy,Drama",7.2,13121,8000000.0,1095369.0,15644196.0
85,tt1392197,2010 Marmaduke,2010,"Comedy,Family",4.2,13283,50000000.0,33644788.0,89895930.0
86,tt1001526,2010 Megamind,2010,"Action,Animation,Comedy",7.3,207488,130000000.0,148415853.0,321887208.0
87,tt1664697,2010 Middle Men,2010,"Action,Comedy,Crime",5.8,45,20000000.0,754301.0,754301.0
88,tt1470827,2010 Monsters,2010,"Drama,Sci-Fi,Thriller",6.4,84332,500000.0,237301.0,5639730.0
89,tt1126618,2010 Morning Glory,2010,"Comedy,Drama,Romance",6.5,67367,40000000.0,31011732.0,59795070.0
90,tt1447793,2010 My Girlfriend's Boyfriend,2010,"Comedy,Romance",5.8,5461,1400000.0,0.0,0.0
91,tt0872230,2010 My Soul to Take,2010,"Horror,Mystery,Thriller",4.8,18381,25000000.0,14744435.0,16727470.0
92,tt1289419,2010 N-Secure,2010,"Crime,Drama,Thriller",3.6,587,1600000.0,2595644.0,2595644.0
93,tt1334260,2010 Never Let Me Go,2010,"Drama,Romance,Sci-Fi",7.1,130084,15000000.0,2434652.0,11173718.0
94,tt1305583,2010 Our Family Wedding,2010,"Comedy,Romance",4.9,6417,14000000.0,20255281.0,21410546.0
